date,city,TMAX,TMIN
2025-04-17,Houston,306.0,206.0
2025-04-18,Houston,317.0,233.0
2025-04-19,Houston,289.0,233.0
2025-04-20,Houston,306.0,233.0
2025-04-21,Houston,300.0,211.0
2025-04-22,Houston,306.0,194.0
2025-04-23,Houston,250.0,206.0
2025-04-24,Houston,294.0,194.0
2025-04-25,Houston,311.0,194.0
2025-04-26,Houston,306.0,200.0
2025-04-27,Houston,311.0,211.0
2025-04-28,Houston,300.0,217.0
2025-04-29,Houston,289.0,
