date,city,TMAX,TMIN
2025-04-18,Seattle,217.0,61.0
2025-04-19,Seattle,150.0,83.0
2025-04-20,Seattle,144.0,72.0
2025-04-21,Seattle,139.0,61.0
2025-04-22,Seattle,156.0,44.0
2025-04-23,Seattle,189.0,61.0
2025-04-24,Seattle,222.0,61.0
2025-04-25,Seattle,217.0,83.0
2025-04-26,Seattle,167.0,78.0
2025-04-27,Seattle,144.0,67.0
2025-04-28,Seattle,128.0,78.0
2025-04-29,Seattle,150.0,83.0
2025-04-30,Seattle,161.0,
