date,city,TMAX,TMIN
2025-04-18,Chicago,244.0,156.0
2025-04-19,Chicago,156.0,67.0
2025-04-20,Chicago,150.0,72.0
2025-04-21,Chicago,161.0,72.0
2025-04-22,Chicago,233.0,50.0
2025-04-23,Chicago,244.0,133.0
2025-04-24,Chicago,239.0,106.0
2025-04-25,Chicago,150.0,83.0
2025-04-26,Chicago,122.0,50.0
2025-04-27,Chicago,206.0,39.0
2025-04-28,Chicago,289.0,117.0
2025-04-29,Chicago,250.0,100.0
2025-04-30,Chicago,161.0,
