date,city,TMAX,TMIN
2025-04-17,Phoenix,278.0,178.0
2025-04-18,Phoenix,261.0,117.0
2025-04-19,Phoenix,239.0,122.0
2025-04-20,Phoenix,289.0,144.0
2025-04-21,Phoenix,328.0,172.0
2025-04-22,Phoenix,350.0,178.0
2025-04-23,Phoenix,328.0,189.0
2025-04-24,Phoenix,333.0,183.0
2025-04-25,Phoenix,344.0,189.0
2025-04-26,Phoenix,300.0,183.0
2025-04-27,Phoenix,267.0,167.0
2025-04-28,Phoenix,278.0,150.0
2025-04-29,Phoenix,311.0,
