date,city,TMAX,TMIN,reg_id,energy_consumption
2025-03-17,New York,150.0,28.0,NYIS,387839.0
2025-03-17,New York,150.0,28.0,NYIS,384841.0
2025-03-17,New York,150.0,28.0,NYIS,383316.0
2025-03-17,New York,150.0,28.0,NYIS,386350.0
2025-03-17,New York,150.0,28.0,NYIS,387839.0
2025-03-17,New York,150.0,28.0,NYIS,373550.0
2025-03-17,New York,150.0,28.0,NYIS,371714.0
2025-03-17,New York,150.0,28.0,NYIS,370791.0
2025-03-17,New York,150.0,28.0,NYIS,372627.0
2025-03-17,New York,150.0,28.0,NYIS,373550.0
2025-03-17,New York,150.0,28.0,NYIS,318984.0
2025-03-17,New York,150.0,28.0,NYIS,317667.0
2025-03-17,New York,150.0,28.0,NYIS,316762.0
2025-03-17,New York,150.0,28.0,NYIS,318199.0
2025-03-17,New York,150.0,28.0,NYIS,318984.0
2025-03-17,New York,150.0,28.0,NYIS,-68855.0
2025-03-17,New York,150.0,28.0,NYIS,-67174.0
2025-03-17,New York,150.0,28.0,NYIS,-66554.0
2025-03-17,New York,150.0,28.0,NYIS,-68151.0
2025-03-17,New York,150.0,28.0,NYIS,-68855.0
2025-03-18,New York,161.0,17.0,NYIS,364640.0
2025-03-18,New York,161.0,17.0,NYIS,366263.0
2025-03-18,New York,161.0,17.0,NYIS,367109.0
2025-03-18,New York,161.0,17.0,NYIS,365456.0
2025-03-18,New York,161.0,17.0,NYIS,364640.0
2025-03-18,New York,161.0,17.0,NYIS,352359.0
2025-03-18,New York,161.0,17.0,NYIS,353358.0
2025-03-18,New York,161.0,17.0,NYIS,353867.0
2025-03-18,New York,161.0,17.0,NYIS,352850.0
2025-03-18,New York,161.0,17.0,NYIS,352359.0
2025-03-18,New York,161.0,17.0,NYIS,307034.0
2025-03-18,New York,161.0,17.0,NYIS,306458.0
2025-03-18,New York,161.0,17.0,NYIS,306309.0
2025-03-18,New York,161.0,17.0,NYIS,306690.0
2025-03-18,New York,161.0,17.0,NYIS,307034.0
2025-03-18,New York,161.0,17.0,NYIS,-57606.0
2025-03-18,New York,161.0,17.0,NYIS,-59805.0
2025-03-18,New York,161.0,17.0,NYIS,-60800.0
2025-03-18,New York,161.0,17.0,NYIS,-58766.0
2025-03-18,New York,161.0,17.0,NYIS,-57606.0
2025-03-19,New York,172.0,61.0,NYIS,352650.0
2025-03-19,New York,172.0,61.0,NYIS,353788.0
2025-03-19,New York,172.0,61.0,NYIS,354325.0
2025-03-19,New York,172.0,61.0,NYIS,353232.0
2025-03-19,New York,172.0,61.0,NYIS,352650.0
2025-03-19,New York,172.0,61.0,NYIS,347669.0
2025-03-19,New York,172.0,61.0,NYIS,348364.0
2025-03-19,New York,172.0,61.0,NYIS,348669.0
2025-03-19,New York,172.0,61.0,NYIS,348036.0
2025-03-19,New York,172.0,61.0,NYIS,347669.0
2025-03-19,New York,172.0,61.0,NYIS,309629.0
2025-03-19,New York,172.0,61.0,NYIS,309816.0
2025-03-19,New York,172.0,61.0,NYIS,309759.0
2025-03-19,New York,172.0,61.0,NYIS,309934.0
2025-03-19,New York,172.0,61.0,NYIS,309629.0
2025-03-19,New York,172.0,61.0,NYIS,-43021.0
2025-03-19,New York,172.0,61.0,NYIS,-43972.0
2025-03-19,New York,172.0,61.0,NYIS,-44566.0
2025-03-19,New York,172.0,61.0,NYIS,-43298.0
2025-03-19,New York,172.0,61.0,NYIS,-43021.0
2025-03-20,New York,111.0,56.0,NYIS,367232.0
2025-03-20,New York,111.0,56.0,NYIS,366355.0
2025-03-20,New York,111.0,56.0,NYIS,365904.0
2025-03-20,New York,111.0,56.0,NYIS,366802.0
2025-03-20,New York,111.0,56.0,NYIS,367232.0
2025-03-20,New York,111.0,56.0,NYIS,360849.0
2025-03-20,New York,111.0,56.0,NYIS,360464.0
2025-03-20,New York,111.0,56.0,NYIS,360322.0
2025-03-20,New York,111.0,56.0,NYIS,360638.0
2025-03-20,New York,111.0,56.0,NYIS,360849.0
2025-03-20,New York,111.0,56.0,NYIS,321300.0
2025-03-20,New York,111.0,56.0,NYIS,320106.0
2025-03-20,New York,111.0,56.0,NYIS,319666.0
2025-03-20,New York,111.0,56.0,NYIS,320603.0
2025-03-20,New York,111.0,56.0,NYIS,321300.0
2025-03-20,New York,111.0,56.0,NYIS,-45932.0
2025-03-20,New York,111.0,56.0,NYIS,-46249.0
2025-03-20,New York,111.0,56.0,NYIS,-46238.0
2025-03-20,New York,111.0,56.0,NYIS,-46199.0
2025-03-20,New York,111.0,56.0,NYIS,-45932.0
2025-03-21,New York,106.0,33.0,NYIS,361883.0
2025-03-21,New York,106.0,33.0,NYIS,360715.0
2025-03-21,New York,106.0,33.0,NYIS,360106.0
2025-03-21,New York,106.0,33.0,NYIS,361291.0
